Wikidata_URI15	FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	rating	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	DBpedia_URI	label	label_comp	id	DBpedia_URI15	YAGO_URI15	DBpedia_URI15_Base32
http://www.wikidata.org/entity/Q637346	1024	Livingston University	AL	IIB	360	304	258.0	300	433	369	313.0	363	27	25	33	4	89	http://dbpedia.org/resource/University_of_West_Alabama	low	low	11	http://dbpedia.org/resource/University_of_West_Alabama	http://yago-knowledge.org/resource/University_of_West_Alabama	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPVOZLTORPUC3DBMJQW2YI=
http://www.wikidata.org/entity/Q7895847	1029	University of Mobile	AL	IIB	354	321	277.0	291	436	401	346.0	363	17	19	31	19	86	http://dbpedia.org/resource/University_of_Mobile	low	low	12	http://dbpedia.org/resource/University_of_Mobile	http://yago-knowledge.org/resource/University_of_Mobile	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPU233CNFWGK===
http://www.wikidata.org/entity/Q1056848	1033	Oakwood College	AL	IIB	301	290	283.0	290	375	363	355.0	362	18	28	28	3	77	http://dbpedia.org/resource/Oakwood_University	low	low	13	http://dbpedia.org/resource/Oakwood_University	http://yago-knowledge.org/resource/Oakwood_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6T3BNN3W633EL5KW42LWMVZHG2LUPE======
http://www.wikidata.org/entity/Q6381586	1036	Samford University	AL	IIA	565	425	363.0	449	710	556	476.0	578	83	46	77	9	215	http://dbpedia.org/resource/Samford_University	medium	medium	14	http://dbpedia.org/resource/Samford_University	http://yago-knowledge.org/resource/Samford_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BNVTG64TEL5KW42LWMVZHG2LUPE======
http://www.wikidata.org/entity/Q5591503	1041	Spring Hill College	AL	IIB	431	352	311.0	373	518	425	374.0	449	23	17	14	1	55	http://dbpedia.org/resource/Spring_Hill_College	medium	medium	15	http://dbpedia.org/resource/Spring_Hill_College	http://yago-knowledge.org/resource/Spring_Hill_College	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3QOJUW4Z27JBUWY3C7INXWY3DFM5SQ====
http://www.wikidata.org/entity/Q7617251	1044	Stillman College	AL	IIB	321	288	251.0	272	388	354	312.0	335	13	18	18	10	59	http://dbpedia.org/resource/Stillman_College	low	low	16	http://dbpedia.org/resource/Stillman_College	http://yago-knowledge.org/resource/Stillman_College	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3UNFWGY3LBNZPUG33MNRSWOZI=
http://www.wikidata.org/entity/Q1817686	1047	Troy State University	AL	IIA	462	385	322.0	350	560	467	392.0	426	25	59	100	19	204	http://dbpedia.org/resource/Troy_University	medium	low	17	http://dbpedia.org/resource/Troy_University	http://yago-knowledge.org/resource/Troy_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDSN54V6VLONF3GK4TTNF2HS===
http://www.wikidata.org/entity/Q1682329	1050	Tuskegee University	AL	IIA	410	352	306.0	327	487	415	362.0	387	57	65	85	45	254	http://dbpedia.org/resource/Tuskegee_University	low	low	18	http://dbpedia.org/resource/Tuskegee_University	http://yago-knowledge.org/resource/Tuskegee_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDVONVWKZ3FMVPVK3TJOZSXE43JOR4Q====
http://www.wikidata.org/entity/Q492318	1051	University of Alabama	AL	I	605	447	382.0	463	746	563	483.0	580	267	206	206	76	762	http://dbpedia.org/resource/University_of_Alabama	medium	medium	19	http://dbpedia.org/resource/University_of_Alabama	http://yago-knowledge.org/resource/University_of_Alabama	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBMJQW2YI=
http://www.wikidata.org/entity/Q1472663	1052	University of Alabama at Birmingham	AL	I	633	445	366.0	461	786	569	475.0	587	106	163	107	19	406	http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	medium	medium	20	http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	http://yago-knowledge.org/resource/University_of_Alabama_at_Birmingham	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBMJQW2YK7MF2F6QTJOJWWS3THNBQW2===
http://www.wikidata.org/entity/Q1783148	1055	University of Alabama in Huntsville	AL	IIA	636	443	375.0	451	771	540	455.0	548	72	87	98	7	282	http://dbpedia.org/resource/University_of_Alabama_in_Huntsville	medium	medium	21	http://dbpedia.org/resource/University_of_Alabama_in_Huntsville	http://yago-knowledge.org/resource/University_of_Alabama_in_Huntsville	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBMJQW2YK7NFXF6SDVNZ2HG5TJNRWGK===
http://www.wikidata.org/entity/Q13572981	1057	University of South Alabama	AL	IIA	542	426	370.0	418	645	514	450.0	504	119	103	142	64	434	http://dbpedia.org/resource/University_of_South_Alabama	medium	medium	22	http://dbpedia.org/resource/University_of_South_Alabama	http://yago-knowledge.org/resource/University_of_South_Alabama	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPVG33VORUF6QLMMFRGC3LB
http://www.wikidata.org/entity/Q758560	8310	Auburn University at Montgomery	AL	IIA	519	422	343.0	403	621	507	411.0	483	56	54	63	28	201	http://dbpedia.org/resource/Auburn_Montgomery	medium	medium	23	http://dbpedia.org/resource/Auburn_University_at_Montgomery		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLVMJ2XE3S7KVXGS5TFOJZWS5DZL5QXIX2NN5XHIZ3PNVSXE6I=
http://www.wikidata.org/entity/Q1571390	1085	University of Arkansas at Monticello	AR	IIB	453	363	330.0	349	561	448	402.0	428	23	24	48	22	117	http://dbpedia.org/resource/University_of_Arkansas_at_Monticello	low	low	24	http://dbpedia.org/resource/University_of_Arkansas_at_Monticello	http://yago-knowledge.org/resource/University_of_Arkansas_at_Monticello	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC4TLMFXHGYLTL5QXIX2NN5XHI2LDMVWGY3Y=
http://www.wikidata.org/entity/Q2495825	1086	University of Arkansas at Pine Bluff	AR	IIB	406	366	332.0	335	505	457	415.0	419	40	33	71	46	192	http://dbpedia.org/resource/University_of_Arkansas_at_Pine_Bluff	low	low	25	http://dbpedia.org/resource/University_of_Arkansas_at_Pine_Bluff	http://yago-knowledge.org/resource/University_of_Arkansas_at_Pine_Bluff	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC4TLMFXHGYLTL5QXIX2QNFXGKX2CNR2WMZQ=
http://www.wikidata.org/entity/Q16149853	1088	Arkansas College	AR	IIB	499	*	330.0	399	618	*	402.0	488	14	5	21	2	42	http://dbpedia.org/resource/Lyon_College	medium	medium	26	http://dbpedia.org/resource/Lyon_College	http://yago-knowledge.org/resource/Lyon_College	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TDZN5XF6Q3PNRWGKZ3F
http://www.wikidata.org/entity/Q673111	1089	Arkansas Tech University	AR	IIB	439	381	337.0	374	550	479	427.0	471	44	71	52	13	180	http://dbpedia.org/resource/Arkansas_Tech_University	medium	medium	27	http://dbpedia.org/resource/Arkansas_Tech_University	http://yago-knowledge.org/resource/Arkansas_Tech_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLSNNQW443BONPVIZLDNBPVK3TJOZSXE43JOR4Q====
http://www.wikidata.org/entity/Q500131	1090	Arkansas State University	AR	IIA	520	433	342.0	398	646	541	431.0	498	103	87	141	63	394	http://dbpedia.org/resource/Arkansas_State_University	medium	medium	28	http://dbpedia.org/resource/Arkansas_State_University	http://yago-knowledge.org/resource/Arkansas_State_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLSNNQW443BONPVG5DBORSV6VLONF3GK4TTNF2HS===
http://www.wikidata.org/entity/Q1782724	1092	University of Central Arkansas	AR	IIA	521	416	339.0	395	632	507	416.0	482	93	89	82	76	340	http://dbpedia.org/resource/University_of_Central_Arkansas	medium	medium	29	http://dbpedia.org/resource/University_of_Central_Arkansas	http://yago-knowledge.org/resource/University_of_Central_Arkansas	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUGZLOORZGC3C7IFZGWYLOONQXG===
http://www.wikidata.org/entity/Q7896711	1094	University of the Ozarks	AR	IIB	309	280	274.0	285	428	383	376.0	391	14	9	15	2	40	http://dbpedia.org/resource/University_of_the_Ozarks	low	low	30	http://dbpedia.org/resource/University_of_the_Ozarks	http://yago-knowledge.org/resource/University_of_the_Ozarks	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPXI2DFL5HXUYLSNNZQ====
http://www.wikidata.org/entity/Q1604967	1098	Henderson State University	AR	IIB	447	375	341.0	375	561	480	435.0	477	55	42	33	25	155	http://dbpedia.org/resource/Henderson_State_University	medium	medium	31	http://dbpedia.org/resource/Henderson_State_University	http://yago-knowledge.org/resource/Henderson_State_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDFNZSGK4TTN5XF6U3UMF2GKX2VNZUXMZLSONUXI6I=
http://www.wikidata.org/entity/Q1605137	1099	Hendrix College	AR	IIB	485	399	362.0	421	664	534	453.0	562	24	26	14	1	65	http://dbpedia.org/resource/Hendrix_College	medium	medium	32	http://dbpedia.org/resource/Hendrix_College	http://yago-knowledge.org/resource/Hendrix_College	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDFNZSHE2LYL5BW63DMMVTWK===
http://www.wikidata.org/entity/Q6223569	1100	John Brown University	AR	IIB	372	338	304.0	341	478	414	375.0	426	23	22	10	3	58	http://dbpedia.org/resource/John_Brown_University	low	low	33	http://dbpedia.org/resource/John_Brown_University	http://yago-knowledge.org/resource/John_Brown_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6STPNBXF6QTSN53W4X2VNZUXMZLSONUXI6I=
http://www.wikidata.org/entity/Q500154	1101	University of Arkansas at Little Rock	AR	IIA	536	416	372.0	415	651	506	450.0	504	128	117	72	63	398	http://dbpedia.org/resource/University_of_Arkansas_at_Little_Rock	medium	medium	34	http://dbpedia.org/resource/University_of_Arkansas_at_Little_Rock	http://yago-knowledge.org/resource/University_of_Arkansas_at_Little_Rock	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC4TLMFXHGYLTL5QXIX2MNF2HI3DFL5JG6Y3L
http://www.wikidata.org/entity/Q7110141	1102	Ouachita Baptist University	AR	IIB	422	355	289.0	342	529	445	375.0	435	36	14	28	19	97	http://dbpedia.org/resource/Ouachita_Baptist_University	low	low	35	http://dbpedia.org/resource/Ouachita_Baptist_University	http://yago-knowledge.org/resource/Ouachita_Baptist_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6T3VMFRWQ2LUMFPUEYLQORUXG5C7KVXGS5TFOJZWS5DZ
http://www.wikidata.org/entity/Q8020982	1106	Williams Baptist College	AR	IIB	*	*	264.0	266	*	*	327.0	331	4	4	12	4	24	http://dbpedia.org/resource/Williams_Baptist_College	low	low	36	http://dbpedia.org/resource/Williams_Baptist_College	http://yago-knowledge.org/resource/Williams_Baptist_College	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6V3JNRWGSYLNONPUEYLQORUXG5C7INXWY3DFM5SQ====
http://www.wikidata.org/entity/Q1724577	1107	Southern Arkansas University	AR	IIA	461	389	321.0	362	575	484	402.0	453	27	31	34	23	115	http://dbpedia.org/resource/Southern_Arkansas_University	medium	medium	37	http://dbpedia.org/resource/Southern_Arkansas_University	http://yago-knowledge.org/resource/Southern_Arkansas_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3POV2GQZLSNZPUC4TLMFXHGYLTL5KW42LWMVZHG2LUPE======
http://www.wikidata.org/entity/Q1070333	1108	University of Arkansas-Fayetteville	AR	I	563	436	379.0	452	686	531	461.0	550	314	198	225	54	806	http://dbpedia.org/resource/University_of_Arkansas	medium	medium	38	http://dbpedia.org/resource/University_of_Arkansas	http://yago-knowledge.org/resource/University_of_Arkansas	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC4TLMFXHGYLT
http://www.wikidata.org/entity/Q5656130	10311	Harding University	AR	IIB	424	374	335.0	380	512	461	401.0	460	80	46	41	8	179	http://dbpedia.org/resource/Harding_University_High_School	medium	medium	39	http://dbpedia.org/resource/Harding_University_High_School	http://yago-knowledge.org/resource/Harding_University_High_School	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDBOJSGS3THL5KW42LWMVZHG2LUPFPUQ2LHNBPVGY3IN5XWY===
http://www.wikidata.org/entity/Q4570025	1074	Grand Canyon University	AZ	IIB	358	328	274.0	299	439	395	332.0	363	20	18	24	12	74	http://dbpedia.org/resource/Grand_Canyon_University	low	low	40	http://dbpedia.org/resource/Grand_Canyon_University	http://yago-knowledge.org/resource/Grand_Canyon_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6R3SMFXGIX2DMFXHS33OL5KW42LWMVZHG2LUPE======
http://www.wikidata.org/entity/Q670897	1081	Arizona State University	AZ	I	603	449	399.0	489	723	549	489.0	593	576	445	251	7	1383	http://dbpedia.org/resource/Arizona_State_University	medium	medium	41	http://dbpedia.org/resource/Arizona_State_University	http://yago-knowledge.org/resource/Arizona_State_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLSNF5G63TBL5JXIYLUMVPVK3TJOZSXE43JOR4Q====
http://www.wikidata.org/entity/Q139901	1082	Northern Arizona University	AZ	I	511	422	359.0	412	619	518	446.0	507	173	192	175	33	608	http://dbpedia.org/resource/Northern_Arizona_University	medium	medium	42	http://dbpedia.org/resource/Northern_Arizona_University	http://yago-knowledge.org/resource/Northern_Arizona_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TTPOJ2GQZLSNZPUC4TJPJXW4YK7KVXGS5TFOJZWS5DZ
http://www.wikidata.org/entity/Q503419	1083	University of Arizona	AZ	I	648	462	411.0	537	771	561	498.0	645	647	377	272	2	1349	http://dbpedia.org/resource/University_of_Arizona	high	high	43	http://dbpedia.org/resource/University_of_Arizona	http://yago-knowledge.org/resource/University_of_Arizona	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC4TJPJXW4YI=
http://www.wikidata.org/entity/Q4583636	1117	Azusa Pacific University	CA	IIA	430	375	318.0	368	573	494	428.0	488	43	62	32	12	156	http://dbpedia.org/resource/Azusa_Pacific_University	medium	medium	44	http://dbpedia.org/resource/Azusa_Pacific_University	http://yago-knowledge.org/resource/Azusa_Pacific_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QL2OVZWCX2QMFRWSZTJMNPVK3TJOZSXE43JOR4Q====
http://www.wikidata.org/entity/Q864450	1122	Biola University	CA	IIA	455	369	303.0	370	582	462	371.0	464	32	57	31	6	126	http://dbpedia.org/resource/Biola_University	medium	medium	45	http://dbpedia.org/resource/Biola_University	http://yago-knowledge.org/resource/Biola_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTJN5WGCX2VNZUXMZLSONUXI6I=
http://www.wikidata.org/entity/Q161562	1131	California Institute of Technology	CA	I	970	733	576.0	866	1204	909	717.0	1075	173	40	44	0	257	http://dbpedia.org/resource/California_Institute_of_Technology	high	high	46	http://dbpedia.org/resource/California_Institute_of_Technology	http://yago-knowledge.org/resource/California_Institute_of_Technology	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3BNRUWM33SNZUWCX2JNZZXI2LUOV2GKX3PMZPVIZLDNBXG63DPM54Q====
http://www.wikidata.org/entity/Q1026925	1137	California State University-Fullerton	CA	IIA	605	493	387.0	544	760	637	506.0	690	393	120	105	5	623	http://dbpedia.org/resource/California_State_University,_Fullerton	high	high	47	http://dbpedia.org/resource/California_State_University,_Fullerton	http://yago-knowledge.org/resource/California_State_University,_Fullerton	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3BNRUWM33SNZUWCX2TORQXIZK7KVXGS5TFOJZWS5DZFRPUM5LMNRSXE5DPNY======
http://www.wikidata.org/entity/Q1026916	1138	California State University-Hayward	CA	IIA	606	491	384.0	552	762	629	503.0	699	258	69	49	7	383	http://dbpedia.org/resource/California_State_University,_East_Bay	high	high	48	http://dbpedia.org/resource/California_State_University,_East_Bay	http://yago-knowledge.org/resource/California_State_University,_East_Bay	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3BNRUWM33SNZUWCX2TORQXIZK7KVXGS5TFOJZWS5DZFRPUKYLTORPUEYLZ
http://www.wikidata.org/entity/Q1026926	1139	California State University-Long Beach	CA	IIA	600	474	401.0	542	751	610	521.0	685	491	171	112	6	780	http://dbpedia.org/resource/California_State_University,_Long_Beach	high	high	49	http://dbpedia.org/resource/California_State_University,_Long_Beach	http://yago-knowledge.org/resource/California_State_University,_Long_Beach	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3BNRUWM33SNZUWCX2TORQXIZK7KVXGS5TFOJZWS5DZFRPUY33OM5PUEZLBMNUA====
http://www.wikidata.org/entity/Q1026909	1141	California State University-Dominguez Hills	CA	IIA	605	472	392.0	548	759	606	593.0	705	178	52	37	1	268	http://dbpedia.org/resource/California_State_University,_Dominguez_Hills	high	high	50	http://dbpedia.org/resource/California_State_University,_Dominguez_Hills	http://yago-knowledge.org/resource/California_State_University,_Dominguez_Hills	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3BNRUWM33SNZUWCX2TORQXIZK7KVXGS5TFOJZWS5DZFRPUI33NNFXGO5LFPJPUQ2LMNRZQ====
http://www.wikidata.org/entity/Q1026912	1146	California State University-Chico	CA	IIA	604	482	395.0	558	758	631	518.0	707	413	86	73	2	574	http://dbpedia.org/resource/California_State_University,_Chico	high	high	51	http://dbpedia.org/resource/California_State_University,_Chico	http://yago-knowledge.org/resource/California_State_University,_Chico	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3BNRUWM33SNZUWCX2TORQXIZK7KVXGS5TFOJZWS5DZFRPUG2DJMNXQ====
http://www.wikidata.org/entity/Q1026919	1147	California State University-Fresno	CA	IIA	603	476	382.0	553	757	612	500.0	699	459	109	67	14	649	http://dbpedia.org/resource/California_State_University,_Fresno	high	high	52	http://dbpedia.org/resource/California_State_University,_Fresno	http://yago-knowledge.org/resource/California_State_University,_Fresno	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3BNRUWM33SNZUWCX2TORQXIZK7KVXGS5TFOJZWS5DZFRPUM4TFONXG6===
http://www.wikidata.org/entity/Q624560	1149	Humboldt State University	CA	IIA	593	468	387.0	543	746	603	507.0	688	213	38	50	0	301	http://dbpedia.org/resource/Humboldt_State_University	high	high	53	http://dbpedia.org/resource/Humboldt_State_University	http://yago-knowledge.org/resource/Humboldt_State_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDVNVRG63DEORPVG5DBORSV6VLONF3GK4TTNF2HS===
http://www.wikidata.org/entity/Q913861	1151	San Diego State University	CA	IIA	602	479	403.0	547	756	615	524.0	693	576	223	100	10	909	http://dbpedia.org/resource/San_Diego_State_University	high	high	54	http://dbpedia.org/resource/San_Diego_State_University	http://yago-knowledge.org/resource/San_Diego_State_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BNZPUI2LFM5XV6U3UMF2GKX2VNZUXMZLSONUXI6I=
http://www.wikidata.org/entity/Q498526	1155	San Jose State University	CA	IIA	598	486	404.0	528	750	623	526.0	669	431	222	158	8	819	http://dbpedia.org/resource/San_Jose_State_University	high	high	55	http://dbpedia.org/resource/San_Jose_State_University	http://yago-knowledge.org/resource/San_Jose_State_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BNZPUU33TMVPVG5DBORSV6VLONF3GK4TTNF2HS===
http://www.wikidata.org/entity/Q624571	1156	Sonoma State University	CA	IIA	602	459	380.0	553	755	592	497.0	699	170	34	29	0	233	http://dbpedia.org/resource/Sonoma_State_University	high	high	56	http://dbpedia.org/resource/Sonoma_State_University	http://yago-knowledge.org/resource/Sonoma_State_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3PNZXW2YK7KN2GC5DFL5KW42LWMVZHG2LUPE======
http://www.wikidata.org/entity/Q1805085	1164	Chapman University	CA	IIA	578	470	420.0	491	763	627	573.0	656	38	37	36	0	111	http://dbpedia.org/resource/Chapman_University	medium	high	57	http://dbpedia.org/resource/Chapman_University	http://yago-knowledge.org/resource/Chapman_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3IMFYG2YLOL5KW42LWMVZHG2LUPE======
