Wikidata_URI15	id	Company	Industry	Country	rating	Sales	Profits	Assets	Rank	DBpedia_URI	label	DBpedia_URI15	YAGO_URI15	DBpedia_URI15_Base32
http://www.wikidata.org/entity/Q499707	22	BNP Paribas	Major Banks	France	71.3	126.2	8.6	2504.2	22	http://dbpedia.org/resource/BNP_Paribas	medium	http://dbpedia.org/resource/BNP_Paribas	http://yago-knowledge.org/resource/BNP_Paribas	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QSOKBPVAYLSNFRGC4Y=
http://www.wikidata.org/entity/Q352850	23	Total	Oil & Gas Operations	France	115.5	240.5	14.1	224.1	23	http://dbpedia.org/resource/Total	high	http://dbpedia.org/resource/Total		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDPORQWY===
http://www.wikidata.org/entity/Q35476	24	AT&T	Telecommunications services	United States	200.1	127.4	7.3	272.3	24	http://dbpedia.org/resource/AT&T	high	http://dbpedia.org/resource/AT&T	http://yago-knowledge.org/resource/AT&T	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QKUEZKA====
http://www.wikidata.org/entity/Q487292	25	Allianz	Diversified Insurance	Germany	66.4	140.3	6.8	915.8	25	http://dbpedia.org/resource/Allianz	medium	http://dbpedia.org/resource/Allianz	http://yago-knowledge.org/resource/Allianz	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLMNRUWC3T2
	26	Mitsubishi UFJ Financial	Major Banks	Japan	85.7	59.0	11.9	2653.1	27	http://dbpedia.org/resource/Mitsubishi_UFJ_Financial	medium	http://dbpedia.org/resource/Mitsubishi_UFJ_Financial_Group		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLJORZXKYTJONUGSX2VIZFF6RTJNZQW4Y3JMFWF6R3SN52XA===
http://www.wikidata.org/entity/Q487907	27	Bank of America	Major Banks	United States	135.5	100.1	4.2	2210.0	28	http://dbpedia.org/resource/Bank_of_America	high	http://dbpedia.org/resource/Bank_of_America	http://yago-knowledge.org/resource/Bank_of_America	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTBNZVV633GL5AW2ZLSNFRWC===
http://www.wikidata.org/entity/Q741618	28	China Mobile	Telecommunications services	Hong Kong-China	213.8	88.8	20.5	168.7	29	http://dbpedia.org/resource/China_Mobile	high	http://dbpedia.org/resource/China_Mobile	http://yago-knowledge.org/resource/China_Mobile	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3INFXGCX2NN5RGS3DF
http://www.wikidata.org/entity/Q408793	29	ENI	Oil & Gas Operations	Italy	86.3	163.7	10.0	185.2	30	http://dbpedia.org/resource/ENI	medium	http://dbpedia.org/resource/ENI		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6RKOJE======
	30	Toyota Motor	Auto & Truck Manufacturers	Japan	167.2	224.5	3.4	371.3	31	http://dbpedia.org/resource/Toyota_Motor	high	http://dbpedia.org/resource/Toyota		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDPPFXXIYI=
http://www.wikidata.org/entity/Q160746	31	Nestlé	Food Processing	Switzerland	233.5	100.6	11.6	134.7	32	http://dbpedia.org/resource/Nestle	high	http://dbpedia.org/resource/Nestlé		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TTFON2GZQ5J
http://www.wikidata.org/entity/Q122141	32	Vodafone	Telecommunications services	United Kingdom	135.7	74.4	11.1	219.9	33	http://dbpedia.org/resource/Vodafone	high	http://dbpedia.org/resource/Vodafone	http://yago-knowledge.org/resource/Vodafone	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VTPMRQWM33OMU======
http://www.wikidata.org/entity/Q37156	33	IBM	Computer Services	United States	239.5	104.5	16.6	119.2	34	http://dbpedia.org/resource/IBM	high	http://dbpedia.org/resource/IBM	http://yago-knowledge.org/resource/IBM	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SKCJU======
http://www.wikidata.org/entity/Q212405	34	Procter & Gamble	Household/Personal Care	United States	208.5	83.3	12.9	139.9	35	http://dbpedia.org/resource/Procter_&_Gamble	high	http://dbpedia.org/resource/Procter_&_Gamble	http://yago-knowledge.org/resource/Procter_&_Gamble	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDSN5RXIZLSL4TF6R3BNVRGYZI=
http://www.wikidata.org/entity/Q228894	35	Daimler	Auto & Truck Manufacturers	Germany	64.1	150.8	8.0	211.9	36	http://dbpedia.org/resource/Daimler	medium	http://dbpedia.org/resource/Daimler		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6RDBNFWWYZLS
http://www.wikidata.org/entity/Q206921	36	Pfizer	Pharmaceuticals	United States	201.4	59.0	14.6	185.8	37	http://dbpedia.org/resource/Pfizer	high	http://dbpedia.org/resource/Pfizer	http://yago-knowledge.org/resource/Pfizer	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDGNF5GK4Q=
http://www.wikidata.org/entity/Q1776022	37	Statoil	Oil & Gas Operations	Norway	78.1	126.8	12.4	140.2	38	http://dbpedia.org/resource/Statoil	medium	http://dbpedia.org/resource/Statoil	http://yago-knowledge.org/resource/Statoil	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3UMF2G62LM
	38	AXA Group	Diversified Insurance	France	45.3	147.5	5.3	1005.4	39	http://dbpedia.org/resource/AXA_Group	medium	http://dbpedia.org/resource/AXA		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QKYIE======
http://www.wikidata.org/entity/Q285328	39	Commonwealth Bank	Major Banks	Australia	117.5	47.8	7.3	735.2	40	http://dbpedia.org/resource/Commonwealth_Bank	high	http://dbpedia.org/resource/Commonwealth_Bank	http://yago-knowledge.org/resource/Commonwealth_Bank	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3PNVWW63TXMVQWY5DIL5BGC3TL
http://www.wikidata.org/entity/Q2283	40	Microsoft	Software & Programming	United States	234.8	72.9	15.5	128.7	41	http://dbpedia.org/resource/Microsoft	high	http://dbpedia.org/resource/Microsoft	http://yago-knowledge.org/resource/Microsoft	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLJMNZG643PMZ2A====
http://www.wikidata.org/entity/Q1424293	41	Itaú_Unibanco	Major Banks	Brazil	82.0	70.5	6.2	453.6	42	http://dbpedia.org/resource/Itaú_Unibanco	medium	http://dbpedia.org/resource/Itaú_Unibanco		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SLUMHB3UX2VNZUWEYLOMNXQ====
http://www.wikidata.org/entity/Q6496310	42	Banco Santander	Major Banks	Spain	82.1	108.8	2.9	1647.8	43	http://dbpedia.org/resource/Banco_Santander	medium	http://dbpedia.org/resource/Banco_Santander		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTBNZRW6X2TMFXHIYLOMRSXE===
http://www.wikidata.org/entity/Q625713	43	BHP Billiton	Diversified Metals & Mining	Australia	184.7	72.2	15.4	129.3	44	http://dbpedia.org/resource/BHP_Billiton	high	http://dbpedia.org/resource/BHP_Billiton	http://yago-knowledge.org/resource/BHP_Billiton	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QSIKBPUE2LMNRUXI33O
http://www.wikidata.org/entity/Q806181	44	Banco Bradesco	Regional Banks	Brazil	71.6	78.3	5.6	417.5	45	http://dbpedia.org/resource/Banco_Bradesco	medium	http://dbpedia.org/resource/Banco_Bradesco	http://yago-knowledge.org/resource/Banco_Bradesco	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTBNZRW6X2COJQWIZLTMNXQ====
http://www.wikidata.org/entity/Q333718	45	Johnson & Johnson	Medical Equipment & Supplies	United States	221.4	67.2	10.9	121.3	46	http://dbpedia.org/resource/Johnson_&_Johnson	high	http://dbpedia.org/resource/Johnson_&_Johnson	http://yago-knowledge.org/resource/Johnson_&_Johnson	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6STPNBXHG33OL4TF6STPNBXHG33O
	46	Westpac Banking Group	Major Banks	Australia	98.9	43.9	6.2	699.6	48	http://dbpedia.org/resource/Westpac_Banking_Group	high	http://dbpedia.org/resource/Westpac		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6V3FON2HAYLD
	47	Goldman Sachs Group	Investment Services	United States	74.5	41.7	7.5	938.6	49	http://dbpedia.org/resource/Goldman_Sachs_Group	medium	http://dbpedia.org/resource/Goldman_Sachs		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6R3PNRSG2YLOL5JWCY3IOM======
http://www.wikidata.org/entity/Q735261	48	Royal Bank of Canada	Major Banks	Canada	87.2	38.3	7.7	838.5	50	http://dbpedia.org/resource/Royal_Bank_of_Canada	medium	http://dbpedia.org/resource/Royal_Bank_of_Canada	http://yago-knowledge.org/resource/Royal_Bank_of_Canada	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UTPPFQWYX2CMFXGWX3PMZPUGYLOMFSGC===
http://www.wikidata.org/entity/Q81230	49	Siemens	Conglomerates	Germany	91.9	100.6	5.7	134.4	51	http://dbpedia.org/resource/Siemens	high	http://dbpedia.org/resource/Siemens		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3JMVWWK3TT
	50	Ford Motor	Auto & Truck Manufacturers	United States	51.8	134.3	5.7	190.6	53	http://dbpedia.org/resource/Ford_Motor	medium	http://dbpedia.org/resource/Ford_Motor_Company		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6RTPOJSF6TLPORXXEX2DN5WXAYLOPE======
http://www.wikidata.org/entity/Q806680	51	Bank of Communications	Major Banks	China	56.7	43.5	9.4	846.4	54	http://dbpedia.org/resource/Bank_of_Communications	medium	http://dbpedia.org/resource/Bank_of_Communications	http://yago-knowledge.org/resource/Bank_of_Communications	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTBNZVV633GL5BW63LNOVXGSY3BORUW63TT
	52	BMW Group	Auto & Truck Manufacturers	Germany	60.0	98.8	6.6	165.5	55	http://dbpedia.org/resource/BMW_Group	medium	http://dbpedia.org/resource/BMW		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QSNK4======
http://www.wikidata.org/entity/Q1113804	53	Comcast	Broadcasting & Cable	United States	106.3	62.6	6.2	165.0	56	http://dbpedia.org/resource/Comcast	high	http://dbpedia.org/resource/Comcast	http://yago-knowledge.org/resource/Comcast	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3PNVRWC43U
http://www.wikidata.org/entity/Q507154	54	Novartis	Pharmaceuticals	Switzerland	169.3	56.7	9.5	124.2	57	http://dbpedia.org/resource/Novartis	high	http://dbpedia.org/resource/Novartis	http://yago-knowledge.org/resource/Novartis	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TTPOZQXE5DJOM======
http://www.wikidata.org/entity/Q1430985	55	National Australia Bank	Major Banks	Australia	76.3	49.2	4.2	791.3	58	http://dbpedia.org/resource/National_Australia_Bank	medium	http://dbpedia.org/resource/National_Australia_Bank	http://yago-knowledge.org/resource/National_Australia_Bank	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TTBORUW63TBNRPUC5LTORZGC3DJMFPUEYLONM======
http://www.wikidata.org/entity/Q1141123	56	Rosneft	Oil & Gas Operations	Russia	73.2	68.8	11.2	126.3	59	http://dbpedia.org/resource/Rosneft	medium	http://dbpedia.org/resource/Rosneft	http://yago-knowledge.org/resource/Rosneft	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UTPONXGKZTU
http://www.wikidata.org/entity/Q645708	57	ING Group	Life & Health Insurance	Netherlands	31.9	130.0	5.1	1533.7	60	http://dbpedia.org/resource/ING_Group	medium	http://dbpedia.org/resource/ING_Group	http://yago-knowledge.org/resource/ING_Group	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SKOI5PUO4TPOVYA====
	58	Sberbank	Regional Banks	Russia	73.3	36.1	10.8	441.1	61	http://dbpedia.org/resource/Sberbank	medium	http://dbpedia.org/resource/Sberbank_of_Russia	http://yago-knowledge.org/resource/Sberbank	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3CMVZGEYLONNPW6ZS7KJ2XG43JME======
http://www.wikidata.org/entity/Q212235	59	American International Group	Diversified Insurance	United States	57.5	65.7	3.4	548.6	62	http://dbpedia.org/resource/American_International_Group	medium	http://dbpedia.org/resource/American_International_Group	http://yago-knowledge.org/resource/American_International_Group	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLNMVZGSY3BNZPUS3TUMVZG4YLUNFXW4YLML5DXE33VOA======
http://www.wikidata.org/entity/Q329347	60	Lukoil	Oil & Gas Operations	Russia	55.4	116.3	11.0	99.0	64	http://dbpedia.org/resource/Lukoil	medium	http://dbpedia.org/resource/Lukoil	http://yago-knowledge.org/resource/Lukoil	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TDVNNXWS3A=
http://www.wikidata.org/entity/Q421296	61	Prudential	Life & Health Insurance	United Kingdom	44.7	90.2	3.6	489.4	65	http://dbpedia.org/resource/Prudential	medium	http://dbpedia.org/resource/Prudential		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDSOVSGK3TUNFQWY===
http://www.wikidata.org/entity/Q295826	62	ANZ	Major Banks	Australia	81.2	37.5	5.9	666.9	66	http://dbpedia.org/resource/ANZ	medium	http://dbpedia.org/resource/ANZ		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QKOLI======
http://www.wikidata.org/entity/Q95	63	Google	Computer Services	United States	268.4	50.2	10.7	93.8	68	http://dbpedia.org/resource/Google	high	http://dbpedia.org/resource/Google	http://yago-knowledge.org/resource/Google	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6R3PN5TWYZI=
http://www.wikidata.org/entity/Q9401	64	BASF	Diversified Chemicals	Germany	90.1	103.9	6.4	83.5	69	http://dbpedia.org/resource/BASF	high	http://dbpedia.org/resource/BASF	http://yago-knowledge.org/resource/BASF	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QSBKNDA====
http://www.wikidata.org/entity/Q81965	65	General Motors	Auto & Truck Manufacturers	United States	38.5	152.3	6.2	149.4	70	http://dbpedia.org/resource/General_Motors	medium	http://dbpedia.org/resource/General_Motors	http://yago-knowledge.org/resource/General_Motors	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6R3FNZSXEYLML5GW65DPOJZQ====
http://www.wikidata.org/entity/Q158205	66	Sanofi	Pharmaceuticals	France	131.6	46.1	6.6	132.4	72	http://dbpedia.org/resource/Sanofi	high	http://dbpedia.org/resource/Sanofi	http://yago-knowledge.org/resource/Sanofi	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BNZXWM2I=
http://www.wikidata.org/entity/Q214763	67	ConocoPhillips	Oil & Gas Operations	United States	72.1	58.4	8.4	117.1	73	http://dbpedia.org/resource/ConocoPhillips	medium	http://dbpedia.org/resource/ConocoPhillips	http://yago-knowledge.org/resource/ConocoPhillips	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3PNZXWG32QNBUWY3DJOBZQ====
http://www.wikidata.org/entity/Q437442	68	EDF	Electric Utilities	France	35.3	95.9	4.4	325.2	74	http://dbpedia.org/resource/EDF	medium	http://dbpedia.org/resource/EDF		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6RKEIY======
http://www.wikidata.org/entity/Q230426	69	Zurich Insurance Group	Diversified Insurance	Switzerland	41.8	70.4	3.9	409.3	75	http://dbpedia.org/resource/Zurich_Insurance_Group	medium	http://dbpedia.org/resource/Zurich_Insurance_Group	http://yago-knowledge.org/resource/Zurich_Insurance_Group	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6WTVOJUWG2C7JFXHG5LSMFXGGZK7I5ZG65LQ
http://www.wikidata.org/entity/Q128738	70	Anheuser-Busch InBev	Beverages	Belgium	153.5	39.8	7.2	122.6	76	http://dbpedia.org/resource/Anheuser-Busch_InBev	high	http://dbpedia.org/resource/Anheuser-Busch_InBev	http://yago-knowledge.org/resource/Anheuser-Busch_InBev	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLONBSXK43FOIWUE5LTMNUF6SLOIJSXM===
http://www.wikidata.org/entity/Q248	71	Intel	Semiconductors	United States	105.7	53.3	11.0	84.4	77	http://dbpedia.org/resource/Intel	high	http://dbpedia.org/resource/Intel	http://yago-knowledge.org/resource/Intel	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SLOORSWY===
http://www.wikidata.org/entity/Q2813	72	Coca-Cola	Beverages	United States	173.1	48.0	9.0	86.2	79	http://dbpedia.org/resource/Coca-Cola	high	http://dbpedia.org/resource/Coca-Cola	http://yago-knowledge.org/resource/Coca-Cola	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3PMNQS2Q3PNRQQ====
http://www.wikidata.org/entity/Q173395	73	Cisco Systems	Communications Equipment	United States	116.9	47.3	9.3	96.4	80	http://dbpedia.org/resource/Cisco_Systems	high	http://dbpedia.org/resource/Cisco_Systems	http://yago-knowledge.org/resource/Cisco_Systems	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3JONRW6X2TPFZXIZLNOM======
http://www.wikidata.org/entity/Q166637	74	Munich Re	Diversified Insurance	Germany	34.9	88.0	4.2	340.6	81	http://dbpedia.org/resource/Munich_Re	medium	http://dbpedia.org/resource/Munich_Re	http://yago-knowledge.org/resource/Munich_Re	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLVNZUWG2C7KJSQ====
	75	Merck & Co	Pharmaceuticals	United States	133.3	47.3	6.2	106.1	82	http://dbpedia.org/resource/Merck_&_Co	high	http://dbpedia.org/resource/Merck_&_Co.		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLFOJRWWXZGL5BW6LQ=
	76	Ping An Insurance Group	Diversified Insurance	China	57.0	51.1	3.2	456.2	83	http://dbpedia.org/resource/Ping_An_Insurance_Group	medium	http://dbpedia.org/resource/Ping_An_Insurance		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDJNZTV6QLOL5EW443VOJQW4Y3F
	77	Bank of Nova Scotia	Major Banks	Canada	70.6	27.6	6.4	737.2	84	http://dbpedia.org/resource/Bank_of_Nova_Scotia	medium	http://dbpedia.org/resource/Scotiabank		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3DN52GSYLCMFXGW===
